ds,y,yhat,yhat_lower,yhat_upper,anomaly
2022-11-07 13:00:00,6.650500000000001,7.307141445346648,5.179325041555857,9.364714095220819,0
2022-11-07 14:00:00,6.9663,7.649840251293207,5.473734748352414,9.782696484713247,0
2022-11-07 15:00:00,5.1693,7.585696093957591,5.553463453050073,9.615702043704971,1
2022-11-07 16:00:00,6.1402,7.327176704467855,5.334442143434201,9.509357727045893,0
2022-11-07 17:00:00,5.5692,7.23158702270192,5.266885281362962,9.177686258915303,0
2022-11-07 18:00:00,6.7036,7.426939526840593,5.37547850404135,9.370324192940336,0
2022-11-07 19:00:00,8.8217,7.638574514490793,5.389411301113536,9.728751327418529,0
2022-11-07 20:00:00,6.664300000000001,7.404913764679884,5.263681704883365,9.49653771227613,0
2022-11-07 21:00:00,5.6949000000000005,6.487738169679529,4.404414652418111,8.549703612864668,0
2022-11-07 22:00:00,4.7377,5.088063930529187,3.0383399773265007,7.1839943171261655,0
2022-11-07 23:00:00,3.6154,3.6673708231977473,1.4947641387484356,5.6406879723567425,0
2022-11-08 00:00:00,3.441,2.5583545293940664,0.47000028441524416,4.660780611933225,0
2022-11-08 01:00:00,1.4313,1.7475687326884475,-0.07986930185917142,3.905652044144542,0
2022-11-08 02:00:00,0.9889,1.029044024479154,-1.155739213302541,3.1986948731949885,0
2022-11-08 03:00:00,0.26480000000000004,0.34932818835291,-1.719217606786772,2.6817034689252046,0
2022-11-08 04:00:00,0.5487,-0.028877401373300415,-2.230618958104091,1.8400827704685023,0
2022-11-08 05:00:00,0.7158,0.26887338415949724,-1.825047888286674,2.306883875606766,0
2022-11-08 06:00:00,1.5566999999999998,1.3483199262566035,-0.7961211429665662,3.408009381957294,0
2022-11-08 07:00:00,5.7918,2.8720595454239337,0.7678812928029364,5.063349297838176,1
2022-11-08 08:00:00,4.972200000000001,4.281092848749142,2.0448037299081836,6.386778258570834,0
2022-11-08 09:00:00,6.0022,5.21645947608712,3.1076003285470555,7.38828206513634,0
2022-11-08 10:00:00,5.6928,5.748888103019279,3.7660373964101876,7.7100745929835774,0
2022-11-08 11:00:00,5.3609,6.2103531275162265,4.246055875897643,8.216942176526407,0
2022-11-08 12:00:00,5.537599999999999,6.813274628564281,4.678047316266974,8.914207870171298,0
2022-11-08 13:00:00,7.030900000000001,7.436259953379598,5.430645871247523,9.534140639194508,0
2022-11-08 14:00:00,7.2278,7.779926964988469,5.676108931996426,9.887144790831082,0
2022-11-08 15:00:00,7.8725,7.715737955197744,5.626448864964446,9.880774670320074,0
2022-11-08 16:00:00,9.5467,7.456269531444132,5.443688989661945,9.54418906686653,1
2022-11-08 17:00:00,8.2255,7.35893891816766,5.244188353375311,9.310091696578144,0
2022-11-08 18:00:00,7.0757,7.551872504246887,5.478498054260196,9.77815099468148,0
2022-11-08 19:00:00,8.3135,7.760524373615923,5.704938931375421,9.835042765495366,0
2022-11-08 20:00:00,7.338500000000001,7.523428271945695,5.580950055538745,9.609246175833235,0
2022-11-08 21:00:00,6.3348,6.602473620840856,4.688432975323012,8.821981202146782,0
2022-11-08 22:00:00,4.2351,5.1987801947507535,3.0563654817922985,7.329612586530672,0
2022-11-08 23:00:00,3.3975,3.7739249872577103,1.673951820921024,5.866950966664433,0
2022-11-09 00:00:00,1.9748999999999999,2.660693278168557,0.29045619960707153,4.685152123663518,0
2022-11-09 01:00:00,1.1907,1.8457196194206813,-0.2898601443193602,3.9006143137225835,0
2022-11-09 02:00:00,0.7097,1.1231057954591028,-0.9493023059711011,3.1552335773200473,0
2022-11-09 03:00:00,0.1352,0.4394603400668764,-1.7273702191177174,2.6299409742955464,0
2022-11-09 04:00:00,0.1733,0.05753435341810231,-1.8862545368969061,2.192838314301112,0
2022-11-09 05:00:00,0.599,0.3518122755235975,-1.6211128526357272,2.4245000147034705,0
2022-11-09 06:00:00,1.2761,1.4280601897132397,-0.7287971561034056,3.424938875080341,0
2022-11-09 07:00:00,2.9403,2.948890510337162,0.853753868603395,4.876787373475172,0
2022-11-09 08:00:00,4.0233,4.355307524221761,2.186204237263591,6.468454303523804,0
2022-11-09 09:00:00,5.2124,5.288695486349382,3.054878160801458,7.279637866379142,0
2022-11-09 10:00:00,5.7986,5.819027636944769,3.5926990587009136,7.949983913934091,0
2022-11-09 11:00:00,5.5949,6.278636478968201,4.010557129025123,8.302036410188522,0
2022-11-09 12:00:00,7.494000000000001,6.879905706397918,4.689480303593006,8.919350944062247,0
2022-11-09 13:00:00,7.0235,7.501398482604254,5.616516476167218,9.609987967181802,0
2022-11-09 14:00:00,8.7546,7.843681853086896,5.935828195265115,10.018210695005221,0
2022-11-09 15:00:00,8.6853,7.77816193302403,5.850362055724226,9.730025662157502,0
2022-11-09 16:00:00,7.7221,7.517355157900871,5.479113207232149,9.539520129625041,0
2022-11-09 17:00:00,5.8706000000000005,7.4186160163815495,5.487285289443676,9.48026789370393,0
2022-11-09 18:00:00,6.8136,7.610007075521719,5.5772763682507795,9.829929924794767,0
2022-11-09 19:00:00,6.0286,7.816919012092065,5.580299341312906,9.785742884133947,0
2022-11-09 20:00:00,7.119400000000001,7.577824080256023,5.477357891581301,9.688915970352625,0
2022-11-09 21:00:00,5.0588,6.654553603716179,4.462411575401376,8.748303397119024,0
2022-11-09 22:00:00,4.1807,5.248174084735227,3.233392547511594,7.402251359575,0
2022-11-09 23:00:00,2.208,3.8202154345027575,1.6961913919491252,5.932318379909204,0
2022-11-10 00:00:00,2.8118,2.703423314931761,0.6003639148831129,4.720941682875708,0
2022-11-10 01:00:00,1.6425,1.884401289763069,-0.2920841676735824,4.024753385479731,0
2022-11-10 02:00:00,1.6295,1.157229821965338,-0.9529967901918915,3.129796297493995,0
2022-11-10 03:00:00,0.45189999999999997,0.46850668246648475,-1.6361162865207652,2.5128144124424967,0
2022-11-10 04:00:00,0.1531,0.08098349901242763,-1.811323673197583,2.2984176073490974,0
2022-11-10 05:00:00,0.7573,0.3691570885147444,-1.795409927700627,2.551050982817127,0
2022-11-10 06:00:00,1.4863,1.4388181360884067,-0.7065528360679827,3.390168982760152,0
2022-11-10 07:00:00,4.273,2.952821707498791,1.0296141636822358,5.103396232892411,0
